id_student,n_clicks_externalquiz,n_clicks_forumng,n_clicks_glossary,n_clicks_homepage,n_clicks_oucollaborate,n_clicks_oucontent,n_clicks_ouwiki,n_clicks_resource,n_clicks_subpage,n_clicks_url,total_n_clicks,final_result
27935,3,142,0,259,2,64,38,41,231,33,813,1
28046,10,92,0,162,0,100,75,32,175,15,661,1
29411,24,169,4,211,1,54,74,87,193,24,841,0
30549,2,7,0,58,2,32,0,3,33,0,137,1
31173,7,162,0,212,6,228,110,44,87,2,858,1
33930,6,143,0,199,6,43,70,22,48,7,544,0
34653,3,36,0,39,0,45,5,18,64,3,213,1
39411,2,44,0,44,1,46,0,0,25,2,164,1
40184,36,511,1,485,2,47,291,83,390,30,1876,0
40419,6,184,0,114,0,82,43,41,86,4,560,0
40563,2,163,0,121,4,57,59,21,136,21,584,0
42818,4,72,0,43,2,40,0,2,30,7,200,1
48152,2,45,0,110,13,167,62,37,80,12,528,0
50610,0,0,0,4,0,4,0,0,5,0,13,1
51163,23,65,0,245,72,228,12,94,393,35,1167,0
57227,15,408,9,520,11,130,50,37,227,18,1425,0
57818,44,609,0,666,6,211,339,109,948,105,3037,0
59275,0,177,0,99,0,143,23,23,56,1,522,1
59370,18,597,6,499,18,285,105,96,416,17,2057,0
63566,4,159,1,334,11,59,129,102,369,64,1232,1
63856,5,318,0,255,6,88,82,64,136,11,965,0
66577,1,8,15,45,0,5,0,9,58,2,143,1
67471,39,151,0,237,16,169,85,76,294,46,1113,0
67505,7,241,38,308,4,119,203,62,244,20,1246,1
68376,19,292,0,308,1,51,62,85,234,33,1085,0
71209,3,162,0,125,44,22,69,7,50,1,483,0
74502,43,1043,0,916,32,581,122,176,689,28,3630,0
78170,9,1017,3,549,8,287,239,101,415,41,2669,1
80868,7,1465,0,1484,50,590,152,192,353,183,4476,0
82088,7,287,29,394,3,51,16,36,138,139,1100,1
89188,20,633,102,367,7,147,96,52,323,13,1760,0
89727,6,104,0,96,1,47,86,14,39,13,406,1
90979,2,40,0,71,0,42,1,3,9,0,168,1
92391,1,60,0,93,5,6,6,9,45,4,229,1
102850,13,651,12,311,8,284,87,63,293,27,1749,0
103800,1,0,0,66,0,19,18,21,45,0,170,0
104643,3,505,0,296,20,130,153,89,264,36,1496,0
105523,11,91,0,235,5,150,30,43,168,20,753,0
108789,0,14,0,41,1,24,0,1,21,0,102,1
111360,3,16,0,92,0,40,55,11,79,15,311,1
111926,15,215,0,212,19,135,83,59,217,12,967,1
114558,57,360,12,487,21,79,115,84,356,49,1620,0
120999,28,89,0,113,14,34,98,30,91,10,507,0
122739,3,112,5,103,0,143,48,24,79,9,526,1
123497,3,104,0,121,13,59,20,42,129,6,497,1
123598,4,151,0,143,10,108,42,76,243,29,806,0
124006,14,185,4,148,2,90,30,52,192,17,734,0
126394,3,408,0,446,8,474,53,102,384,6,1884,0
126812,12,706,0,607,12,106,102,102,527,27,2201,0
127988,9,26,0,56,0,28,0,15,51,1,186,0
128656,6,43,0,60,1,50,32,37,147,10,386,0
128965,15,98,120,66,12,28,49,19,104,7,518,0
130467,10,366,0,315,16,61,112,73,229,42,1224,0
130671,13,178,0,277,0,277,81,78,73,3,980,0
131222,17,768,0,508,18,66,138,52,434,62,2063,0
132401,5,171,1,288,6,196,19,43,218,49,996,1
135385,18,532,5,588,53,481,196,77,500,50,2500,0
139843,3,36,0,23,0,34,5,6,17,3,127,1
140807,17,954,3,703,15,120,99,71,515,71,2568,0
144895,9,729,0,304,65,83,28,28,228,27,1501,0
146485,4,301,0,278,16,79,76,27,64,11,856,1
146666,5,123,0,137,1,113,41,32,226,30,708,1
148008,2,98,0,138,25,155,32,36,37,6,529,1
156783,23,119,0,302,4,316,134,32,144,27,1101,0
157310,11,145,0,268,28,193,53,67,148,10,923,0
158611,4,99,0,216,13,164,56,39,145,16,752,0
162337,5,335,0,204,5,96,58,14,54,6,777,1
164935,21,46,0,198,8,44,64,54,229,9,673,0
169079,22,445,1,527,9,288,188,94,243,15,1832,0
173004,1,60,0,60,2,2,0,12,19,0,156,1
173370,13,536,0,340,15,166,70,70,129,11,1350,0
177354,16,149,0,197,3,261,96,49,137,15,923,0
178020,41,50,0,180,0,293,27,114,276,45,1026,0
179718,4,148,0,253,2,155,54,95,419,67,1197,1
179904,5,186,6,106,1,59,44,45,161,7,620,1
180651,3,38,4,169,1,60,103,96,364,52,890,0
185127,8,67,0,118,3,23,53,37,129,24,462,0
188875,4,71,0,34,0,25,20,6,43,0,203,1
189624,9,329,0,622,15,408,82,71,386,36,1958,0
191445,9,203,4,267,1,102,29,57,245,27,944,1
203066,16,380,1,248,29,43,74,72,321,22,1206,0
204182,36,59,0,258,12,245,23,88,225,18,964,0
204505,5,205,0,7277,18,426,86,71,148,15,8251,0
205442,18,213,0,202,30,94,117,46,244,14,978,0
227020,4,64,2,89,9,97,40,41,54,4,404,1
228888,10,122,0,117,4,48,38,74,163,22,598,0
230510,1,15,0,38,0,87,2,12,10,2,167,1
231572,2,86,0,103,5,195,22,45,91,3,552,0
234406,0,125,0,220,14,248,98,59,233,19,1016,0
236857,9,176,6,127,0,49,55,73,193,11,699,0
236953,16,519,0,445,24,95,62,36,282,38,1517,0
237602,36,294,0,320,20,131,82,45,254,30,1212,0
237808,1,198,0,43,2,16,10,35,48,0,353,1
238800,3,3,0,35,0,179,0,22,35,2,279,1
